ticker,close,price_date
ACGL,100.55,2026-07-21
ADBE,227.16,2026-07-21
AIGO.TO,35.72,2026-07-17
AQN.TO,8.12,2026-07-21
BRK-B,489.65,2026-07-21
BTO.TO,5.39,2026-07-21
BYDDY,11.34,2026-07-21
CINF,180.51,2026-07-21
CMG.TO,3.85,2026-07-21
CNQ.TO,63.31,2026-07-21
CTAS,200.41,2026-07-21
DCBO.TO,27.2,2026-07-21
DECK,103.31,2026-07-21
DPM.TO,50.58,2026-07-21
DXCM,74.75,2026-07-21
ENGH.TO,16.25,2026-07-21
EXPD,178.58,2026-07-21
EXPE,264.94,2026-07-21
FICO,1227.34,2026-07-21
GC=F,4082.2,2026-07-21
INCY,117.39,2026-07-21
JD,30.43,2026-07-21
MSTR,101.95,2026-07-21
NOW,102.06,2026-07-21
ORCL,127.05,2026-07-21
PDD,84.83,2026-07-21
PGR,205.9,2026-07-21
QQQ,708.97,2026-07-21
SOBO.TO,52.84,2026-07-21
SPY,748.28,2026-07-21
XIU.TO,52.75,2026-07-21
XYZ,80.38,2026-07-21
